Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,2.1340196980431965,31.61896715598268,2.02183954618539,43.59235668789809
2,1.9633873505329982,49.65677473862076,1.9287048731639886,53.35031847133758
3,1.882011857905475,57.851937902629636,1.9248340287178185,53.40127388535032
4,1.820474377704757,64.20952582110043,1.8854691243627268,57.452229299363054
5,1.768451337918068,69.3631851304256,1.9099978617042492,54.853503184713375
6,1.7374680777741203,72.45749287147534,1.853199241389135,60.66242038216561
7,1.6958929947656594,76.7451684443975,1.8554043183053375,60.40764331210191
8,1.6732580244308264,78.92068856267821,1.86522418076825,59.4140127388535
9,1.6536260288460904,81.02228324004646,1.852229376325182,60.68789808917197
10,1.6360083243854195,82.62752138557398,1.8466427725895196,61.12101910828026
11,1.6212781825706666,84.13771253564262,1.8525351377353547,60.30573248407644
12,1.6114589941263677,85.08818249023128,1.8582512173683021,60.35668789808917
13,1.5999777446088752,86.26042876755729,1.8366974246274135,62.1656050955414
14,1.5929256406703083,86.8307107403105,1.850563563419755,60.968152866242036
15,1.5950717586740317,86.6934206357588,1.8435734290833685,61.52866242038217
16,1.5895790674578414,87.18977716759953,1.8560541939583555,60.12738853503185
17,1.583210352444324,87.86566691308481,1.8672954455758355,59.261146496815286
18,1.575214962720594,88.71052909494139,1.8620953320242037,59.745222929936304
19,1.5769450555873503,88.48875277220404,1.8542316024014904,60.35668789808917
20,1.5713955187120234,89.05903474495723,1.8522929836382531,60.560509554140125
